Method,Description,similarity_score,EvlScore
update,使用指定的字节更新当前校验和。,0.79868007,1.0
deleteFile,删除文件。,0.8184189,1.0
getView,"view属性标识 
               AbstractView生成事件的 
               AbstractView 。",0.8651459,1.0
getPublicId,"如果指定，则与实体关联的公共标识符，否则为 
               null 。",0.7684798,1.0
getMimeTypes,"返回此对象支持的MIME类型的 
               DataFlavor对象的数组。",0.83743334,1.0
icSigUcrBgTag,ICC配置文件标记签名：'bfd'。,0.80292684,1.0
contains,"如果此列表包含指定的元素，则返回 
               true 。",0.555545,1.0
applyAsLong,将此函数应用于给定的参数。,0.73048705,1.0
getData,该处理指令的内容。,0.78298455,1.0
createInputMethodJFrame,创建一个顶级Swing JFrame供输入法使用。,0.85430527,0.8
releaseService,"通过调用底层 
               BeanContextServiceProvider上的releaseService（），释放 
               BeanContextChild （或与BeanContextChild关联的任意对象）对指定服务的 
               BeanContextServiceProvider 。",0.787307,1.0
duplicate,创建一个共享此缓冲区内容的新浮点缓冲区。,0.8768456,1.0
internalEntityDecl,报告内部实体声明。,0.76933765,1.0
icCurveCount,ICC配置文件常量：curveType计数。,0.9036275,1.0
register,使用监视服务注册此路径所在的文件。,0.54606456,1.0
getName,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.8510277,1.0
icSigPs2RenderingIntentTag,ICC配置文件标记签名：'ps2i'。,0.79230154,0.6000000000000001
getBoundActions,获取此键映射中定义的所有操作。,0.7808437,1.0
isDestroyed,"确定此 
               Object是否已被销毁。",0.8970015,1.0
getTotalColumnWidth,返回所有列的总宽度。,0.7734234,1.0
renameNode,"重命名类型为 
               ELEMENT_NODE或 
               ATTRIBUTE_NODE的现有节点。",0.84756714,1.0
getNamespaceContext,返回当前名称空间上下文。,0.79902023,1.0
getIconHeight,返回图标的高度。,0.8009248,1.0
toString,以与此序列相同的顺序返回包含此序列中字符的字符串。,0.8431079,1.0
getPrefixes,获取绑定到当前作用域中的Namespace URI的所有前缀。,0.87021077,1.0
isEnabled,指示是否可以通过输入设备（例如鼠标指针）选择或触发按钮。,0.8675282,1.0
getService,"BeanContextChild或与 
               BeanContextChild关联的任意对象可以通过调用此方法从其嵌套 
               BeanContextServices获取对当前已注册服务的引用。",0.8326146,1.0
alignmentOffset,返回内存地址，指向给定索引处的字节，给定单位大小的模数。,0.7963122,1.0
setDouble,"将指定参数设置为给定的Java 
               double值。",0.84278816,1.0
visitNoType,访问NoType实例。,0.88732433,1.0
setRowId,"将指定参数设置为给定的 
               java.sql.RowId对象。",0.8139334,1.0
getAnnotation,"返回指定类型的这种构造的注解，如果这样的注释 
               存在 ，否则 
               null 。",0.7457574,1.0
build,返回此构建器定义的对象的实例。,0.65987784,1.0
treeCollapsed,只要树中的项目已折叠，就会调用此方法。,0.86912405,1.0
minimumLayoutSize,在给定组件包含的组件的情况下，计算指定容器的最小大小尺寸。,0.8189777,1.0
getByteCodeIndex,"返回 
               Code属性的代码数组的索引，该属性包含此堆栈帧表示的执行点。",0.8709091,1.0
capture,将捕获转换应用于类型。,0.40256825,1.0
accept,向正在构建的流添加元素。,0.15683967,1.0
force,强制对此缓冲区内容所做的任何更改都写入包含映射文件的存储设备。,0.25440556,1.0
setColumnName,"将指定列的名称设置为给定的 
               String 。",0.84707856,1.0
